frame,time,px,py,pz,dx,dy,dz,fov
299,6.2292,1.1716,16.0,15.243601,-0.074426,-0.23822,-0.968355,60.8616
300,6.25,1.100481,16.0,15.232043,-0.069981,-0.238467,-0.968626,60.8693
301,6.2708,1.029458,16.0,15.22017,-0.065533,-0.238715,-0.968876,60.8772
302,6.2917,0.958538,16.0,15.207968,-0.061081,-0.238963,-0.969106,60.8851
303,6.3125,0.887726,16.0,15.195421,-0.056628,-0.239212,-0.969315,60.893
304,6.3333,0.817028,16.0,15.182518,-0.052173,-0.239462,-0.969503,60.901
305,6.3542,0.74645,16.0,15.169242,-0.047716,-0.239713,-0.969671,60.9091
306,6.375,0.675998,16.0,15.15558,-0.043258,-0.239965,-0.969817,60.9172
307,6.3958,0.605677,16.0,15.141517,-0.038799,-0.240219,-0.969943,60.9254
308,6.4167,0.535493,16.0,15.127039,-0.034339,-0.240475,-0.970048,60.9337
309,6.4375,0.465451,16.0,15.112132,-0.02988,-0.240733,-0.970131,60.9421
310,6.4583,0.395558,16.0,15.09678,-0.025421,-0.240994,-0.970194,60.9505
311,6.4792,0.32582,16.0,15.08097,-0.020962,-0.241256,-0.970235,60.959
312,6.5,0.256242,16.0,15.064686,-0.016503,-0.241522,-0.970255,60.9675
313,6.5208,0.18683,16.0,15.047915,-0.012046,-0.241791,-0.970254,60.9762
314,6.5417,0.117589,16.0,15.03064,-0.00759,-0.242063,-0.970231,60.9849
315,6.5625,0.048527,16.0,15.012848,-0.003136,-0.242339,-0.970187,60.9937
316,6.5833,-0.019126,16.0,14.994886,0.001237,-0.242613,-0.970122,61.0026
