frame,time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
154,3.208333,-6.383078,-4.406372,-5.151405,-4.412015,-3.906335,-4.425803,0.022401,-5.423626,1.289170,-5.430650
155,3.229167,-6.359098,-4.421051,-5.126960,-4.426930,-3.881483,-4.440846,0.036160,-5.425837,1.303117,-5.432806
156,3.250000,-6.328932,-4.439343,-5.096337,-4.445433,-3.850475,-4.459431,0.052057,-5.428359,1.319122,-5.435247
157,3.270833,-6.292589,-4.461124,-5.059547,-4.467403,-3.813322,-4.481433,0.070059,-5.431173,1.337152,-5.437955
158,3.291667,-6.250079,-4.486250,-5.016600,-4.492691,-3.770037,-4.506706,0.090132,-5.434258,1.357174,-5.440909
159,3.312500,-6.201416,-4.514554,-4.967507,-4.521131,-3.720632,-4.535082,0.112237,-5.437591,1.379148,-5.444088
160,3.333333,-6.146613,-4.545849,-4.912286,-4.552535,-3.665126,-4.566373,0.136332,-5.441148,1.403033,-5.447469
161,3.354167,-6.085690,-4.579928,-4.850958,-4.586694,-3.603539,-4.600372,0.162373,-5.444903,1.428783,-5.451026
162,3.375000,-6.018674,-4.616565,-4.783547,-4.623382,-3.535901,-4.636852,0.190309,-5.448827,1.456350,-5.454734
163,3.395833,-5.945597,-4.655518,-4.710088,-4.662355,-3.462247,-4.675571,0.220089,-5.452893,1.485682,-5.458565
164,3.416667,-5.866499,-4.696525,-4.630623,-4.703353,-3.382620,-4.716270,0.251656,-5.457071,1.516723,-5.462492
165,3.437500,-5.781431,-4.739312,-4.545205,-4.746102,-3.297075,-4.758675,0.284952,-5.461330,1.549417,-5.466486
166,3.458333,-5.690457,-4.783592,-4.453895,-4.790312,-3.205678,-4.802502,0.319914,-5.465640,1.583700,-5.470518
167,3.479167,-5.593649,-4.829065,-4.356772,-4.835686,-3.108506,-4.847451,0.356477,-5.469969,1.619509,-5.474559
168,3.500000,-5.491099,-4.875421,-4.253926,-4.881913,-3.005653,-4.893218,0.394572,-5.474287,1.656777,-5.478581
169,3.520833,-5.382910,-4.922342,-4.145463,-4.928676,-2.897226,-4.939487,0.434128,-5.478563,1.695434,-5.482554
